iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks,C
1,WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,ZCF,1918.398,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,ZCF,407.6,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,onshore_wind,5254.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,solar,209.9,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,other_renewables,3.225,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,other_renewables,6.4510000000000005,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,ZCF,882.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,ZCF,1013.0039999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,onshore_wind,5751.7,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,solar,593.1,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_N,ZCF,0.025,0.025,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_N,ZCF,0.021,0.021,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_N,battery,2657.6409999999996,2657.6409999999996,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_N,NGCCS,18907.24,18907.24,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_N,onshore_wind,0.002,0.002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_N,onshore_wind,0.001,0.001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,CA_N,onshore_wind,0.001,0.001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,CA_N,onshore_wind,0.001,0.001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,CA_N,solar,6444.1230000000005,6444.1230000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_N,solar,0.015,0.015,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,CA_N,solar,0.048,0.048,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,CA_N,solar,0.047,0.047,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,CA_S,ZCF,0.09300000000000001,0.09300000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_S,ZCF,0.021,0.021,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_S,battery,4717.0470000000005,4717.0470000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_S,NGCCS,9952.732,9952.732,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,CA_S,onshore_wind,0.013000000000000001,0.013000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_S,onshore_wind,6608.25,6608.25,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,CA_S,onshore_wind,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,CA_S,onshore_wind,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,CA_S,onshore_wind,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,CA_S,onshore_wind,0.002,0.002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,CA_S,onshore_wind,0.002,0.002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,7
1,CA_S,onshore_wind,0.004,0.004,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,8
1,CA_S,onshore_wind,0.003,0.003,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,9
1,CA_S,onshore_wind,0.003,0.003,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,10
1,CA_S,solar,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_S,solar,0.017,0.017,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,CA_S,solar,0.016,0.016,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,CA_S,solar,0.045,0.045,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_N,ZCF,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_N,ZCF,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
