iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks
1,WECC_PNW,nuclear,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,onshore_wind,5254.016999999999,0.016999999999999998,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,other_renewables,91.85699999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,solar,27356.391000000003,27146.491,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,NGCCS,4082.5290000000005,4082.5290000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,ZCF,2777.091,882.087,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,battery,2009.8,2009.8,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,hydrogen_storage,0.008,0.008,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,nuclear,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,onshore_wind,23281.040999999997,17529.340999999997,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,solar,5356.807000000002,4763.707000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
2,CA_N,NGCCS,18359.154,18359.154,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,ZCF,3999.858,0.039,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,battery,0.469,0.469,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,hydrogen_storage,0.004,0.004,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,onshore_wind,1327.6029999999998,0.003,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,solar,5286.212999999999,2499.113,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,NGCCS,17447.041,17447.041,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,ZCF,6201.5869999999995,0.04,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,battery,15504.958999999999,15504.958999999999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,hydrogen_storage,0.005,0.005,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,onshore_wind,4735.623000000001,0.023000000000000007,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,solar,47390.643000000004,37870.643000000004,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,battery,1.034,1.034,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,hydrogen_storage,0.032,0.032,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,nuclear,0.005,0.005,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,onshore_wind,35286.625,31392.725,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,solar,1185.825,0.125,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,NGCCS,2535.935,2535.935,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,ZCF,6133.558,1800.205,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,battery,3705.9629999999997,3705.9629999999997,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,hydro,3960.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,hydrogen_storage,0.008,0.008,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,nuclear,4003.007,0.008,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,onshore_wind,29182.212,27947.111999999997,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,other_renewables,18.294,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,pumped_hydro,216.3,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,solar,6266.468999999999,0.069,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,ZCF,2325.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
