iter,Region,Resource Name,Sum,Policy,folder,case,weeks
1,WECC_PNW,other_renewables,0.802462764,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,pumped_hydro,0.9959037,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_PNW,solar,72.17433119895999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,NGCCS,13.661743,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,ZCF,2.502389450939,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,battery,2.251335,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,flexible_load,16.522212,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,hydro,2.3039767999999996,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,hydrogen_storage,1.0428461e-05,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,nuclear,8.228586e-05,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,onshore_wind,68.541208395424,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,other_renewables,0.084529538,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,pumped_hydro,1.8421208,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,WECC_WYCO,solar,14.164480286619998,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
2,CA_N,NGCCS,119.34575,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,ZCF,1.2482778290329999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,battery,0.000598025,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,flexible_load,24.199976,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,hydro,16.845447999999998,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,hydrogen_storage,7.954199e-06,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,nuclear,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,offshore_wind,1.6515430559999999e-06,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,onshore_wind,2.2192974801459004,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,other_renewables,6.713289197399999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,pumped_hydro,5.3722585,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_N,solar,13.088071253457,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,NGCCS,106.02735,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,ZCF,2.995215608916,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,battery,25.931734,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,flexible_load,33.960972,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,hydro,2.0071292,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,hydrogen_storage,1.0962586999999998e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,nuclear,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,onshore_wind,15.908054812392896,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,other_renewables,6.0538094540000005,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,pumped_hydro,5.404724,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,CA_S,solar,139.74731919432298,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,ZCF,1.165826912,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,battery,0.0022799565,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,flexible_load,15.376522,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,hydro,12.396068999999999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,hydrogen_storage,7.027806e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,nuclear,3.594924e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,onshore_wind,123.56042492925097,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,other_renewables,3.4969682559999997,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_N,solar,1.6568308229829998,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,NGCCS,7.907836499999999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,ZCF,8.304054525532997,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,battery,6.1659175,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,flexible_load,29.508806,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,hydro,9.43449,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,hydrogen_storage,1.3489636e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,nuclear,33.329775988883995,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,onshore_wind,94.42196604400799,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,other_renewables,0.15981638399999998,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,pumped_hydro,0.7105513,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_NMAZ,solar,8.290424628390102,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,ZCF,3.32835358,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,battery,17.945567999999998,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,flexible_load,31.460718,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,hydro,120.00337999999999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,hydrogen_storage,1.4995893e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,nuclear,0.0004252393,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,offshore_wind,2.72653957e-06,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,onshore_wind,10.003632070443398,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,other_renewables,0.802462764,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,pumped_hydro,0.9799016999999999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,solar,105.14031723616999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,NGCCS,6.9748116e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,ZCF,2.8634408305559997,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,battery,29.400852,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,flexible_load,16.522211,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,hydro,1.5106209,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,hydrogen_storage,5.7519054999999994,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,nuclear,7.340127999999999e-05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,onshore_wind,116.28139465905399,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,other_renewables,0.084529538,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,pumped_hydro,1.9438744,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,solar,95.10624053840999,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
3,CA_N,NGCCS,50.604104,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,ZCF,7.389091623054999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,battery,0.00059306976,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,flexible_load,24.200006,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,hydro,17.423413999999998,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,hydrogen_storage,5.306719e-06,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,nuclear,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,offshore_wind,1.79928811e-06,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,onshore_wind,2.3288822002273997,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,other_renewables,6.713289197399999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,pumped_hydro,5.1216194999999995,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,solar,20.987882520541,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,NGCCS,0.00012400964,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,ZCF,4.842107850946,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,battery,82.41658,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,flexible_load,33.960975999999995,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,hydro,1.9331942,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,hydrogen_storage,1.953793e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,nuclear,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,onshore_wind,40.583433212252295,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,other_renewables,6.0538094540000005,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,pumped_hydro,5.3759805,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,solar,252.26036483554498,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,ZCF,4.629201375,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,battery,0.00020158494999999998,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,flexible_load,15.376520999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,hydro,15.483870999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,hydrogen_storage,1.2891872e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,nuclear,7.971673999999999e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,onshore_wind,75.40690332224699,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,other_renewables,3.4969682559999997,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,solar,2.004222197402,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,NGCCS,61.641388,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,ZCF,0.043463055699999996,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,battery,3.0773637999999996,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,flexible_load,29.50881,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,hydro,8.093838,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,hydrogen_storage,1.8234017999999998e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,nuclear,29.185124934353,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,onshore_wind,59.26609317090999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,other_renewables,0.15981638399999998,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,pumped_hydro,0.7362417499999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,solar,39.501443354689975,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,ZCF,0.77013071,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,battery,43.43052,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,flexible_load,31.460534,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,hydro,107.84640999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,hydrogen_storage,2.9762709e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,nuclear,0.00024124712999999998,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,offshore_wind,3.7961534999999996e-06,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,onshore_wind,11.188340188367,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,other_renewables,0.802462764,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,pumped_hydro,0.99199406,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,solar,189.71523611292997,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,NGCCS,0.32617509999999994,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,ZCF,8.75011702653,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,battery,2.4914544999999997,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,flexible_load,16.522212,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,hydro,1.6552727999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,hydrogen_storage,4.5735493e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,nuclear,5.038624e-05,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,onshore_wind,143.230179409129,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,other_renewables,0.084529538,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,pumped_hydro,1.8656982,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,solar,12.345369909154,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
4,CA_N,NGCCS,90.99184,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,ZCF,3.57903629854,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,battery,0.3700642,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,flexible_load,24.200001999999998,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,hydro,17.635476,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,hydrogen_storage,7.1175647e-06,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,nuclear,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,offshore_wind,3.2335384499999995e-06,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,onshore_wind,2.3219427635241,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,other_renewables,6.713289197399999,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,pumped_hydro,4.910741499999999,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,solar,24.463216920692997,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,NGCCS,0.00016231482,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,ZCF,10.346258670265998,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,battery,73.06421,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,flexible_load,33.960975999999995,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,hydro,2.0071068999999997,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,hydrogen_storage,2.8796716999999998e-05,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,nuclear,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,onshore_wind,14.234094438124698,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,other_renewables,6.0538094540000005,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,pumped_hydro,5.131296,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,solar,225.51654657026,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,ZCF,1.44511347,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,battery,14.978581,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,flexible_load,15.376515,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,hydro,13.120535,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,hydrogen_storage,6.3661835e-05,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,nuclear,7.694501999999999e-05,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,onshore_wind,112.536206903412,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,other_renewables,3.4969682559999997,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,solar,81.33234032619299,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,NGCCS,0.00049513544,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,ZCF,2.089262794403,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,battery,3.8535844999999997,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,flexible_load,29.508764,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,hydro,9.433743,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,hydrogen_storage,1.6968491,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,nuclear,24.021925855009997,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,onshore_wind,182.25066316666596,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,other_renewables,0.15981638399999998,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,pumped_hydro,0.7401533,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,solar,7.052002746484998,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,ZCF,4.1255996999999995,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,battery,9.942382,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,flexible_load,31.46071,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,hydro,115.22381,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,hydrogen_storage,1.6282728e-05,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,nuclear,0.00014921048,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,offshore_wind,1.8824184699999998e-06,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,onshore_wind,8.583803488105,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,other_renewables,0.802462764,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,pumped_hydro,0.9382866,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,solar,76.16373785776,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,NGCCS,57.578036,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,ZCF,1.0856464168,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,battery,15.921662,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,flexible_load,16.522181,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,hydro,2.2690597999999995,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,hydrogen_storage,3.3969222999999996e-05,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,nuclear,0.000127099396,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,onshore_wind,14.926266811168999,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_WYCO,other_renewables,0.084529538,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
