Region,Resource Name,EndCap,NewCap,Policy,folder,case,iteration,weeks
WECC_PNW,solar,30982.808999999997,30772.909,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,NGCCS,6900.648,6900.648,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,ZCF,3844.05,1949.046,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,battery,1690.527,1690.527,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,hydrogen_storage,0.01,0.01,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,nuclear,0.012,0.012,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,onshore_wind,36134.143,30382.443,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,solar,3395.5429999999997,2802.4429999999998,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,NGCCS,11123.298999999999,11123.298999999999,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,ZCF,1685.5739999999998,0.062,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,battery,11412.392,11412.392,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,hydrogen_storage,0.008,0.008,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,onshore_wind,1327.6089999999997,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,solar,35092.652,32305.552000000003,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,NGCCS,23699.189,23699.189,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,ZCF,6201.388000000001,0.071,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
